step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.3985777199268341,6.642565131187439e-05,2.297592072864063e-05,0.006976396776735783,0.0288850087672472,-0.3283843428759589,-0.0038173462031265122,0,0,0,0.005808402318507433,0.0038642690051347017,0.005800207611173391,0.0030478723347187042,0.0288850087672472,0.0,0.07530683279037476,0.17262209951877594,0.16956917941570282,0.07762280106544495,0.0,0,0.3519399166107178,0.1674419343471527,-0.1774114966392517,0.08012412488460541,0.0,0,0.41358476877212524,-0.28831225633621216,0.16771957278251648,0.09514960646629333,0.0,0,1.0032334327697754,-0.28233274817466736,-0.17000268399715424,0.09449219703674316,0.0,0,0.6873641610145569
2,0.04,stand,0.0,0.0,0.0,0.39350661635398865,-7.310882210731506e-05,1.1037853255402297e-05,0.012606276199221611,0.0035986003931611776,-0.5369182891686463,0.15530262687235497,0,0,0,-0.012592137791216373,0.0005968875484541059,-0.0116583202034235,-0.0026212790980935097,-0.0035986003931611776,0.0,0.16052985191345215,0.17469362914562225,0.1678338497877121,0.051269739866256714,0.0,0,0.36537423729896545,0.15956202149391174,-0.18173550069332123,0.05534536391496658,0.0,0,0.15487055480480194,-0.31119731068611145,0.16108866035938263,0.07597992569208145,0.0,0,1.0009424686431885,-0.28474217653274536,-0.16217868030071259,0.0794207975268364,0.0,0,0.4525828957557678
3,0.06,stand,0.0,0.0,0.0,0.3843690752983093,-0.0003797970712184906,1.398822496412322e-05,0.016731545329093933,0.00515024783089757,-0.695175052898311,0.4846317503291706,0,0,0,-0.016709931194782257,0.0008501701522618532,-0.012062863446772099,-0.005800335202366114,0.00515024783089757,0.0,0.2341705709695816,0.1806766390800476,0.16717834770679474,0.028574228286743164,0.0,0,0.22048655152320862,0.15218783915042877,-0.18451444804668427,0.029505379498004913,0.0,0,0.3889573812484741,-0.32235702872276306,0.15525317192077637,0.05389025807380676,0.0,0,0.33074015378952026,-0.2802879810333252,-0.1584063470363617,0.06115809828042984,0.0,0,0.324844092130661
4,0.08,stand,0.0,0.0,0.0,0.37288933992385864,-0.0006988998502492905,7.525044202338904e-05,0.015893083065748215,0.008200452663004398,-0.6743326772851643,0.19117862237467007,2,0,0,-0.015209224075078964,0.004611893557012081,-0.013329129666090012,-0.001996129285544157,-0.008200452663004398,0.0,0.24862641096115112,0.17868171632289886,0.16758973896503448,0.022973328828811646,79.66972351074219,1,0.04525909200310707,0.14982075989246368,-0.1843779981136322,0.022792749106884003,86.67273712158203,1,0.0409170426428318,-0.3226567804813385,0.15274298191070557,0.026802413165569305,0.0,0,0.5025674104690552,-0.2744593024253845,-0.1623723953962326,0.04041089117527008,0.0,0,0.6431876420974731
5,0.1,stand,0.0,0.0,0.0,0.36264944076538086,-0.0013996437191963196,0.00019084442465100437,0.030171707272529602,0.15549618005752563,-1.247695201678559,-1.2371659314644554,4,0,0,-0.029574191197752953,0.005974876694381237,-0.03842457756400108,-0.002919005462899804,0.15549618005752563,0.0,0.2168329358100891,0.17039571702480316,0.16397646069526672,0.023027345538139343,103.9891128540039,1,0.029599379748106003,0.1413808912038803,-0.18776904046535492,0.022859282791614532,107.65522766113281,1,0.027197550982236862,-0.3311368525028229,0.14945606887340546,0.022303573787212372,72.55693054199219,1,0.08820445090532303,-0.27092882990837097,-0.17385226488113403,0.022663243114948273,139.94261169433594,1,0.5073801279067993
6,0.12,stand,0.0,0.0,0.0,0.3555435836315155,-0.0023461580276489258,0.00018326354620512575,0.05167438089847565,0.10461869835853577,-1.29337764128172,-1.8180450256785963,4,0,0,-0.05167438089847565,3.5503603612596635e-06,-0.06121441721916199,-0.006594363134354353,0.10461869835853577,0.0,0.17880879342556,0.16791526973247528,0.16342474520206451,0.023091822862625122,60.86937713623047,1,0.03582553192973137,0.13822726905345917,-0.18815980851650238,0.022893771529197693,71.63088989257812,1,0.02818376012146473,-0.33369460701942444,0.15002481639385223,0.0223892480134964,65.81243896484375,1,0.030848117545247078,-0.2747530937194824,-0.17317140102386475,0.022828631103038788,53.00387191772461,1,0.019361991435289383
7,0.14,stand,0.0,0.0,0.0,0.35040590167045593,-0.0032757986336946487,0.00024723727256059647,0.04463120549917221,0.10558851808309555,-1.0074313447923129,-1.7089279512108824,4,0,0,-0.04404915124177933,0.007184471003711224,-0.050845298916101456,0.0034096590243279934,0.10558851808309555,0.0,0.15360099077224731,0.16945888102054596,0.16473887860774994,0.023107990622520447,50.271873474121094,1,0.03163592889904976,0.13911330699920654,-0.18672332167625427,0.02292543649673462,77.34447479248047,1,0.02216513454914093,-0.33201634883880615,0.1523284614086151,0.02242901921272278,58.50509262084961,1,0.01013680174946785,-0.27378273010253906,-0.17095819115638733,0.022863127291202545,35.71152114868164,1,0.013936561532318592
8,0.16,stand,0.0,0.0,0.0,0.3461090624332428,-0.0040438175201416016,0.0004881901550106704,0.039998989552259445,0.07298283278942108,-0.8723411419843033,-1.5523999723931712,4,0,0,-0.03627579286694527,0.01685188151896,-0.04171914979815483,0.013994439505040646,0.07298283278942108,0.0,0.1337091624736786,0.1710762232542038,0.1650301069021225,0.02314421534538269,44.95695877075195,1,0.025409268215298653,0.14022108912467957,-0.18629366159439087,0.02295442670583725,75.2848129272461,1,0.018883323296904564,-0.3302823007106781,0.1534418910741806,0.022459007799625397,45.10213851928711,1,0.0012114146957173944,-0.272594153881073,-0.16991402208805084,0.02289089560508728,19.950979232788086,1,0.01565614342689514
9,0.18,stand,0.0,0.0,0.0,0.342113196849823,-0.004757348448038101,0.0008993603987619281,0.0431145615875721,0.02464991807937622,-0.9087618984337799,-1.4981825710918446,4,0,0,-0.03575824573636055,0.024087615311145782,-0.04058932885527611,0.02133307047188282,0.02464991807937622,0.0,0.11633121967315674,0.17195101082324982,0.16430628299713135,0.023172564804553986,47.25895690917969,1,0.026848776265978813,0.14086493849754333,-0.18689723312854767,0.022980354726314545,70.29541778564453,1,0.01999092288315296,-0.3293132781982422,0.15314866602420807,0.022485770285129547,41.29371643066406,1,0.013125601224601269,-0.27190184593200684,-0.17021426558494568,0.02291432023048401,20.448728561401367,1,0.016769111156463623
10,0.2,stand,0.0,0.0,0.0,0.33838897943496704,-0.005496770143508911,0.001431911252439022,0.04742961749434471,0.01703515648841858,-1.0263249286970375,-1.471005675271187,4,0,0,-0.037905771285295486,0.02850826270878315,-0.04226250946521759,0.025616679340600967,-0.01703515648841858,0.0,0.10137701779603958,0.17257273197174072,0.16318273544311523,0.023198463022708893,50.76944351196289,1,0.020284932106733322,0.14155054092407227,-0.18793709576129913,0.023003466427326202,64.62232208251953,1,0.017316972836852074,-0.3285934329032898,0.152024045586586,0.022506535053253174,37.44398498535156,1,0.002385082421824336,-0.27118465304374695,-0.17128697037696838,0.02293500304222107,24.880672454833984,1,0.014304065145552158
11,0.22,stand,0.0,0.0,0.0,0.3348942697048187,-0.006276304833590984,0.0020311695989221334,0.04992453381419182,0.04365692660212517,-1.1435584023328422,-1.4493322043742674,4,0,0,-0.03978746756911278,0.030156534165143967,-0.04382235184311867,0.027092918753623962,-0.04365692660212517,0.0,0.08867571502923965,0.17311887443065643,0.1620972603559494,0.023221157491207123,53.67753982543945,1,0.027225658297538757,0.14237013459205627,-0.18891942501068115,0.023030266165733337,57.80935287475586,1,0.019593985751271248,-0.32796788215637207,0.15065722167491913,0.022528603672981262,34.937744140625,1,0.0027593104168772697,-0.27034813165664673,-0.17256489396095276,0.02295248955488205,27.261247634887695,1,0.017281150445342064
12,0.24,stand,0.0,0.0,0.0,0.33152884244918823,-0.007096857763826847,0.0026260584127157927,0.050390683114528656,0.04835809767246246,-1.214325245271404,-1.444914139198327,4,0,0,-0.04175290837883949,0.02821197733283043,-0.0456908755004406,0.025021269917488098,-0.04835809767246246,0.0,0.07799655199050903,0.17357993125915527,0.16134284436702728,0.023241892457008362,56.11909103393555,1,0.02765796147286892,0.14317943155765533,-0.1896214783191681,0.023051932454109192,53.67755126953125,1,0.01841970533132553,-0.3274259865283966,0.14948508143424988,0.022550620138645172,34.24701690673828,1,0.011416599154472351,-0.26952096819877625,-0.17364296317100525,0.022968634963035583,27.274301528930664,1,0.016538076102733612
13,0.26,stand,0.0,0.0,0.0,0.32824504375457764,-0.007958720438182354,0.0031660704407840967,0.05035815015435219,0.04209739714860916,-1.22340587505123,-1.4548286923871292,4,0,0,-0.043867722153663635,0.024729866534471512,-0.047796908766031265,0.021557830274105072,-0.04209739714860916,0.0,0.06943747401237488,0.17402078211307526,0.16097207367420197,0.02326202392578125,56.5598258972168,1,0.018455352634191513,0.14395077526569366,-0.18994753062725067,0.02307046204805374,52.00914001464844,1,0.014778759330511093,-0.3269008994102478,0.14871755242347717,0.02256915718317032,33.550724029541016,1,0.0042516677640378475,-0.26873695850372314,-0.17432460188865662,0.02298945188522339,27.320613861083984,1,0.013293292373418808
14,0.28,stand,0.0,0.0,0.0,0.3250565230846405,-0.008854376152157784,0.003641508985310793,0.05018451064825058,0.03592977672815323,-1.1835698639341885,-1.4714173008903861,4,0,0,-0.04527509585022926,0.0216483436524868,-0.04912823066115379,0.018688103184103966,-0.03592977672815323,0.0,0.06345050036907196,0.17449258267879486,0.16087706387043,0.023282714188098907,56.34497833251953,1,0.031186973676085472,0.14470960199832916,-0.1899591088294983,0.02309034764766693,50.93220520019531,1,0.017488202080130577,-0.3263552784919739,0.14831429719924927,0.022589541971683502,34.492923736572266,1,0.0041546085849404335,-0.26797187328338623,-0.1746574193239212,0.023006342351436615,27.57323455810547,1,0.01455628126859665
15,0.3,stand,0.0,0.0,0.0,0.32201144099235535,-0.009770023636519909,0.0040546986274421215,0.0495556965470314,0.030256975442171097,-1.1082321303370073,-1.492403697445485,4,0,0,-0.0459420308470726,0.018576785922050476,-0.049665119498968124,0.01595294289290905,-0.030256975442171097,0.0,0.06042756885290146,0.17498540878295898,0.16102643311023712,0.023316845297813416,56.92266082763672,1,0.02956199273467064,0.14544732868671417,-0.1897691786289215,0.023109063506126404,51.590145111083984,1,0.01761569082736969,-0.32578450441360474,0.1481853574514389,0.022609449923038483,35.78046798706055,1,0.010593698360025883,-0.26722368597984314,-0.17472708225250244,0.023024216294288635,28.081809997558594,1,0.013662472367286682
16,0.32,stand,0.0,0.0,0.0,0.31916430592536926,-0.010690586641430855,0.004412642680108547,0.0486997552216053,0.025716574862599373,-1.0112429105142975,-1.5175637664702848,4,0,0,-0.046002402901649475,0.015982646495103836,-0.049541935324668884,0.013760634697973728,-0.025716574862599373,0.0,0.06028302386403084,0.17549312114715576,0.16131344437599182,0.023334309458732605,56.90528106689453,1,0.016204243525862694,0.14616340398788452,-0.1894427388906479,0.02312377095222473,52.2191276550293,1,0.012238578870892525,-0.3251986503601074,0.14823906123638153,0.022625908255577087,35.24232482910156,1,0.0028012609109282494,-0.26649996638298035,-0.17462216317653656,0.023042216897010803,28.782039642333984,1,0.011485367082059383
17,0.34,stand,0.0,0.0,0.0,0.31656256318092346,-0.01160343550145626,0.004727191757410765,0.04747014120221138,0.02256474643945694,-0.9093424645132309,-1.5481998329404365,4,0,0,-0.04530070722103119,0.014186612330377102,-0.0485517792403698,0.012403465807437897,-0.02256474643945694,0.0,0.062444671988487244,0.17599545419216156,0.1616159975528717,0.023350790143013,56.80467987060547,1,0.03111114725470543,0.14685045182704926,-0.18905605375766754,0.02314283698797226,51.35127258300781,1,0.01891096867620945,-0.3246314823627472,0.14836928248405457,0.02264336496591568,35.88243865966797,1,0.0018414751393720508,-0.2658127248287201,-0.17444491386413574,0.02305682748556137,29.1200008392334,1,0.011625071056187153
